VP,BDI,Creative behavior indicator,Affordance Type (Deny/Affirm),Creative behavior Type,,
I am not allowed to walk in bushes,Belief,Affordance Perception,Deny-,Mental,,
I am not allowed to enter the gate,Belief,Affordance Perception,Deny-,Mental,,
there are stairs that are too tall,Belief,Affordance Perception,Deny-,Mental,,
it is hard to move my head down because of the go-pro camera,Belief,Affordance Perception,Deny-,Mental,,
this place is too open i can see everything,Belief,"Affordance Perception, Imagining",Affirm+,Mental,,
"look in the hole of the first object, then scan the rest of the group",Intention,Performance,,Bodily,,
look in another hole in the group of objects,Intention,Performance,,Bodily,,
look downwards from higher ground,Intention,Performance,,Bodily,,
I wonder what I would find if I climbed up here,Intention,Performance,,Bodily,,
take a peek off the cliff,Intention,Performance,,Bodily,,
quickly check in the blocked off area,Intention,Performance,,Bodily,,
try to go up the park slope or behind the ruins,Intention,Performance,,Bodily,,
lets go off the main path,Intention,Performance,,Bodily,,
Think like the gamemaster,Intention,Performance,,Bodily,,
look behind the fence,Intention,Performance,,Bodily,,
check near the fence,Intention,Performance,,Bodily,,
look in the tree,Intention,Performance,,Bodily,,
"I'm going to see why I can't go around, go around the tree as careful as possible",Intention,Performance,,Bodily,,
find another path to walk,Intention,Performance,,Bodily,,
"Since it's a treasure, it's probably hidden somewhere exciting where kids might go in",Belief,Imagining,,Conceptual,,
It is hidden in the ground,Belief,"Affordance Perception, Imagining",Affirm+,Conceptual,,
the cat is in this tree branch,Belief,"Affordance Perception, Imagining",Affirm+,Conceptual,,
i can fish from here,Belief,"Affordance Perception, Imagining",Affirm+,Conceptual,,
"If it's allowed, I would come here for practice of golf",Belief,"Affordance Perception, Imagining",Affirm+,Conceptual,,
"maybe this is facing America or the ships entering the Tokyo Bay, they will be used to check the approaching ships to protect Japan",Belief,"Affordance Perception, Imagining",Affirm+,Conceptual,,
It is hidden in the area downstairs,Belief,Imagining,,Conceptual,,
There is a hole. it is an ammunition depot,Belief,Imagining,,Conceptual,,
There is something behind the small hills,Belief,Imagining,,Conceptual,,
the cat plushie is hidden in symbolic areas like around artificial objects,Belief,Imagining,,Conceptual,,
there should have been water for the stone to be smooth,Belief,Imagining,,Conceptual,,
i can find some clues at the bottom area,Belief,"Affordance Perception, Imagining",Affirm+,Mental,,
 I can get a lot of information from this point,Belief,"Affordance Perception, Imagining",Affirm+,Mental,,
"I can go down, or anywhere in the whole park",Belief,Affordance Perception,Affirm+,Mental,,
it is not on the grass,Belief,Affordance Perception,Deny-,Mental,,
there is a place where you can dig up artifacts,Belief,Affordance Perception,Affirm+,Mental,,
there is a sign that says do not enter,Belief,Affordance Perception,Deny-,Mental,,
"It is not hidden in the cave, It is hidden somewhere where people can get in",Belief,Affordance Perception,Deny-,Mental,,
The other side of the tree seems like a path for people,Belief,Affordance Perception,Deny-,Mental,,
there isn’t a place to hide there in the bushes,Belief,Affordance Perception,Deny-,Mental,,
There is a place where people don't pass,Belief,Affordance Perception,Deny-,Mental,,
"in the map, the road goes all the way around",Belief,Affordance Perception,Affirm+,Mental,,
i am not allowed to go behind the gate,Belief,Affordance Perception,Affirm+,Mental,,
the floor is slanted and it is difficult to walk,Belief,Affordance Perception,Deny-,Mental,,
This route is all blocked off,Belief,Affordance Perception,Deny-,Mental,,
this areas is blocked off,Belief,Affordance Perception,Deny-,Mental,,
there is a hole in the ground with no door,Belief,Affordance Perception,Deny-,Mental,,
there is a place i can not go defined by the gate,Belief,Affordance Perception,Deny-,Mental,,
a higher ground is good to search for something,Belief,Affordance Perception,Affirm+,Mental,,
there is a way to go down there since there are stairs,Belief,Affordance Perception,Affirm+,Mental,,
a higher ground is good to search for something,Belief,Affordance Perception,Affirm+,Mental,,
there is a do not enter sign,Belief,Affordance Perception,Deny-,Mental,,
there is a narrow path down but the path is too dangerous,Belief,Affordance Perception,Deny-,Mental,,
there's no staircase nearby and no way to go down,Belief,Affordance Perception,Deny-,Mental,,
"the higher area does not go around, it is disconnected",Belief,Affordance Perception,Deny-,Mental,,
it is easy to find the treasure from higher place,Belief,Affordance Perception,Affirm+,Mental,,
"there are many trees, they are not blocking the view",Belief,Affordance Perception,Affirm+,Mental,,
the area is closed off because the plants grew and block the way,Belief,Affordance Perception,Deny-,Mental,,
there is a tree blocking the stairway,Belief,Affordance Perception,Deny-,Mental,,
there is another way by going downstairs,Belief,Affordance Perception,Affirm+,Mental,,
"there are two cave entrances, we cannot enter the caves",Belief,Affordance Perception,Deny-,Mental,,
I cannot go this way down,Belief,Affordance Perception,Deny-,Mental,,
there is a staircase. people take these stairs down,Belief,Affordance Perception,Affirm+,Mental,,
i can see latest tokyo from here,Belief,Affordance Perception,Affirm+,Mental,,
There is a train running under the bridge,Belief,Affordance Perception,Affirm+,Mental,,
It is a mysterious place,Belief,"Affordance Perception, Imagining",Affirm+,Mental,,
"if it is not behind a big object, it will not be hidden in a flat area",Belief,"Affordance Perception, Imagining",Deny-,Mental,,
the fence is low and it's scary,Belief,"Affordance Perception, Imagining",Deny-,Mental,,
"the stairs are steep, long and there is no handrail, i will fall ",Belief,"Affordance Perception, Imagining",Deny-,Mental,,
there is a muddy depression in the ground. i want to keep shoes clean,Belief,"Affordance Perception, Imagining",Affirm+,Mental,,
interesting objects are good hiding places,Belief,"Affordance Perception, Imagining",Affirm+,Mental,,
the wall has holes in it ,Belief,"Affordance Perception, Imagining",Affirm+,Mental,,
it is near the trees because it is easier to spot,Belief,"Affordance Perception, Imagining",Affirm+,Mental,,
it is in a bag in the tree,Belief,"Affordance Perception, Imagining",Affirm+,Mental,,
The treasure is hidden in the trees,Belief,"Affordance Perception, Imagining",Affirm+,Mental,,
"If I was a game host, then I will hide the treasure in like this place. It's so complex and the subject cannot see from the far place",Belief,"Affordance Perception, Imagining",Affirm+,Mental,,
Maybe if something is inside the cannon,Belief,"Affordance Perception, Imagining",Affirm+,Mental,,
"there is a gate with a sign that says do not enter, seawater comes inside the gate when the tide comes",Belief,"Affordance Perception, Imagining",Deny-,Mental,,
there are too many leaves for this place to be hiding the doll,Belief,"Affordance Perception, Imagining",Deny-,Mental,,
there are plants covering something,Belief,"Affordance Perception, Imagining",Affirm+,Mental,,
The treasure is more likely to be found below than above,Belief,Imagining,,Mental,,
"ginko leaves have fallen only here, confirm that this is a special place",Belief,Imagining,,Mental,,
"if it is hidden under somewhere, there should be traces left behind",Belief,Imagining,,Mental,,
this is similar to Zelda games,Belief,Imagining,,Mental,,
"There is an ancient building, it is a tower and a stone",Belief,Imagining,,Mental,,
This used to be a lake?,Belief,Imagining,,Mental,,
"there is a circular hole in the stones, we can put something in it",Belief,"Affordance Perception, Imagining",Affirm+,Physical,,
it is burried,Belief,"Affordance Perception, Imagining",Affirm+,Physical,,
it is hidden under the soil i can kick,Belief,"Affordance Perception, Imagining",Affirm+,Physical,,
It is hidden somewhere under the ground,Belief,"Affordance Perception, Imagining",Affirm+,Physical,,
it is under the falling leaves or behind the fence,Belief,Imagining,,Physical,,
the treasure is hidden under the leaves,Belief,Imagining,,Physical,,
"check inside the cone, break the tip off",Intention,Performance,,Physical,,
poke at the hole and move leaves with a stick,Intention,Performance,,Physical,,
kick the leaves,Intention,Performance,,Physical,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
